allocator,create,query,total
mem3_1mb,6971167,461240507,468221098
mem3_1mb,6982422,470926664,477917349
mem3_1mb,7006272,511303550,518318732
mem3_1mb,6982257,488226928,495216909
mem3_1mb,6973083,510319893,517301108
mem3_1mb,7046300,519984001,527038124
mem3_1mb,7005188,458329353,465342700
mem3_1mb,6988047,464371050,471366445
mem3_1mb,6963300,467738411,474709338
mem3_1mb,7010619,507768380,514786767
mem3_1mb,6983964,473878470,480870170
mem3_1mb,7007271,468878527,475896227
mem3_1mb,7010409,457334729,464352697
mem3_1mb,6991040,459559190,466557798
mem3_1mb,6977640,466457212,473442358
mem3_1mb,6993238,516256760,523257509
mem3_1mb,6973980,462797225,469778752
mem3_1mb,7042555,459581252,466632031
mem3_1mb,6995472,467830276,474833381
mem3_1mb,6980237,471751585,478739436
mem3_1mb,6978568,462017132,469003427
mem3_1mb,6985343,470801443,477794427
mem3_1mb,6966012,519058755,526032055
mem3_1mb,6991586,457248349,464247395
mem3_1mb,7293453,460542814,467869442
mem3_1mb,6975884,469019865,476003830
mem3_1mb,6981500,453432128,460422477
mem3_1mb,7013553,457539346,464560340
mem3_1mb,6975532,468864731,475849796
mem3_1mb,6963291,462710949,469681971
mem3_1mb,6986153,513253685,520249007
mem3_1mb,7001028,451858238,458867133
mem3_1mb,6984256,462913385,469906619
mem3_1mb,6972133,458435608,465415440
mem3_1mb,6984436,460042053,467035358
mem3_1mb,7020771,458991830,466021132
mem3_1mb,6990781,487923246,494922910
mem3_1mb,6998800,534714250,541720837
mem3_1mb,6983324,449709469,456701755
mem3_1mb,7006073,489629161,496643291
mem3_1mb,6980974,462695817,469686418
mem3_1mb,7018021,461970965,468996688
mem3_1mb,7030485,462603840,469642947
mem3_1mb,6968935,469044585,476021270
mem3_1mb,6974158,467072584,474054949
mem3_1mb,6966314,463415688,470389710
mem3_1mb,6999214,453824842,460832888
mem3_1mb,7008449,461931492,468948066
mem3_1mb,6989008,506118180,513115875
mem3_1mb,6971402,464915750,471895042
mem3_1mb,6972973,461408568,468390025
mem3_1mb,6977000,511351531,518336000
